book_id,title,author,genre,target_grade_min,target_grade_max,reading_level,pages,description,isbn,publication_year,copies_available,series_name,series_position
book_0001,Hatchet 1,Mark Francis,Memoir,6,7,740,379,An engaging story for middle grade readers.,978-0-88690-268-1,2002,5,,
book_0002,Walk Two Moons 5,S.E. Hinton,Non-fiction,6,7,647,379,An engaging story for middle grade readers.,978-1-944330-96-5,2013,2,,
book_0003,Streamlined static task-force,John Green,Historical Fiction,6,8,703,242,A compelling tale set against the backdrop of important historical events.,978-0-14-589130-5,2004,2,,
book_0004,The Giver 3,Judy Baldwin,Horror,6,8,752,235,An engaging story for middle grade readers.,978-1-251-94997-3,2001,4,,
book_0005,Where the Red Fern Grows 3,Heidi Martin,Non-fiction,6,8,740,135,An engaging story for middle grade readers.,978-1-188-25252-8,2001,2,,
book_0006,Future-proofed web-enabled encoding,Pam Muñoz Ryan,Biography,6,7,719,286,The inspiring true story of someone who made a difference in the world.,978-1-142-18359-2,2005,3,,
book_0007,Sharable dynamic firmware,Nicole Jones,Science Fiction,7,8,936,187,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-19-700505-7,2017,2,,
book_0008,Percy Jackson 1,R.J. Palacio,Poetry,7,8,1085,261,An engaging story for middle grade readers.,978-1-348-85577-4,2012,3,Wings of Fire,5.0
book_0009,The Maze Runner 4,Gary Paulsen,Adventure,6,8,808,387,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-0-7213-2237-7,2017,3,The Baby-Sitters Club,12.0
book_0010,Freak the Mighty 2,Kyle Sandoval,Science Fiction,6,8,998,124,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-366-72229-7,2003,2,,
book_0011,The Maze Runner 4,Alexa Mcdonald,Romance,7,8,1016,370,A heartwarming story about first love and the complexities of relationships.,978-0-593-80605-0,2008,5,,
book_0012,Number the Stars 3,Derek Roman,Historical Fiction,6,7,658,157,A compelling tale set against the backdrop of important historical events.,978-0-275-46270-3,2009,4,,
book_0013,Pre-emptive asynchronous concept,Casey Mann,Humor,7,8,934,154,A laugh-out-loud funny story that will keep readers entertained from start to finish.,978-0-494-31786-0,2020,3,Percy Jackson,12.0
book_0014,Bridge to Terabithia 5,Nancy Marshall,Memoir,7,8,901,371,An engaging story for middle grade readers.,978-0-342-70342-5,2000,5,,
book_0015,Up-sized web-enabled time-frame,Jesse Allen,Graphic Novel,6,7,657,257,An engaging story for middle grade readers.,978-0-572-20401-3,2007,1,,
book_0016,Vision-oriented bifurcated open system,Samantha Pierce,Humor,6,7,848,164,A laugh-out-loud funny story that will keep readers entertained from start to finish.,978-1-08-187468-1,2004,4,The Baby-Sitters Club,2.0
book_0017,Where the Red Fern Grows 4,Laura Bryant,Memoir,6,7,735,376,An engaging story for middle grade readers.,978-1-326-10275-3,2023,2,,
book_0018,Walk Two Moons 4,Rodman Philbrick,Science Fiction,6,8,891,273,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-1-879642-74-4,2000,5,,
book_0019,Wonder 2,R.J. Palacio,Graphic Novel,7,8,912,269,An engaging story for middle grade readers.,978-1-60975-276-7,2002,5,,
book_0020,Island of the Blue Dolphins 5,Sharon Creech,Poetry,6,7,876,308,An engaging story for middle grade readers.,978-1-59777-069-9,2006,1,Goosebumps,8.0
book_0021,Wonder 1,Jeff Kinney,Poetry,6,8,910,155,An engaging story for middle grade readers.,978-1-900914-69-7,2007,2,Wings of Fire,6.0
book_0022,Freak the Mighty 1,Scott O'Dell,Science Fiction,6,8,793,125,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-425-94961-0,2020,5,Dog Man,3.0
book_0023,Esperanza Rising 4,Veronica Roth,Memoir,6,7,721,130,An engaging story for middle grade readers.,978-0-05-014923-2,2005,4,,
book_0024,Number the Stars 4,J.K. Rowling,Adventure,6,8,846,129,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-0-653-33497-4,2018,5,Wings of Fire,5.0
book_0025,Walk Two Moons 2,Lois Lowry,Science Fiction,6,7,899,195,Set in a futuristic world where technology and humanity collide in unexpected ways.,978-0-8157-3717-9,2002,5,The Maze Runner,1.0
book_0026,Where the Red Fern Grows 1,Charles Robles,Dystopian,6,7,891,398,A thought-provoking story about survival in a society where freedom is under threat.,978-0-9820113-2-4,2018,5,The Hunger Games,7.0
book_0027,Percy Jackson 2,Gary Paulsen,Biography,6,8,804,253,The inspiring true story of someone who made a difference in the world.,978-1-82651-900-6,2014,3,,
book_0028,Island of the Blue Dolphins 1,S.E. Hinton,Humor,6,7,604,235,A laugh-out-loud funny story that will keep readers entertained from start to finish.,978-0-8365-7982-6,2004,3,,
book_0029,The Fault in Our Stars 5,Travis Clark,Horror,6,7,789,370,An engaging story for middle grade readers.,978-1-4910-0284-1,2000,5,,
book_0030,The Giver 5,J.K. Rowling,Horror,6,7,735,207,An engaging story for middle grade readers.,978-0-13-766157-2,2022,3,Goosebumps,2.0
book_0031,Wonder 1,Michelle Noble,Graphic Novel,7,8,1050,241,An engaging story for middle grade readers.,978-1-77073-775-4,2001,1,Goosebumps,5.0
book_0032,The Fault in Our Stars 5,Shannon Campbell,Humor,6,7,734,104,A laugh-out-loud funny story that will keep readers entertained from start to finish.,978-1-256-58691-3,2003,1,,
book_0033,Diary of a Wimpy Kid 5,Alyssa Wilson,Dystopian,7,8,876,165,A thought-provoking story about survival in a society where freedom is under threat.,978-0-18-942403-3,2001,3,,
book_0034,Freak the Mighty 1,Scott O'Dell,Memoir,6,7,783,308,An engaging story for middle grade readers.,978-1-83111-755-6,2019,2,,
book_0035,Implemented well-modulated strategy,Nathan Moore,Memoir,6,7,683,311,An engaging story for middle grade readers.,978-0-10-317401-3,2000,2,,
book_0036,Team-oriented composite access,Shannon Miles,Poetry,6,8,910,227,An engaging story for middle grade readers.,978-0-688-20489-1,2008,2,,
book_0037,Synergized background framework,Jeffrey Andrews,Adventure,6,7,795,202,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-1-308-75747-6,2014,3,,
book_0038,The Outsiders 4,Louis Sachar,Poetry,6,7,714,242,An engaging story for middle grade readers.,978-1-04-114530-1,2011,5,,
book_0039,Persistent regional Graphical User Interface,Suzanne Collins,Mystery,7,8,969,397,A thrilling puzzle that challenges readers to solve the case alongside the protagonist.,978-0-01-291246-1,2008,1,,
book_0040,Walk Two Moons 1,Wilson Rawls,Adventure,7,8,960,230,"An action-packed journey filled with danger, excitement, and unexpected discoveries.",978-0-208-81859-1,2001,4,Wings of Fire,6.0
book_0041,Holes 3,Christopher Scott,Biography,7,8,900,163,The inspiring true story of someone who made a difference in the world.,978-1-147-90763-6,2023,3,Hilo,9.0
book_0042,Harry Potter 5,John Green,Biography,7,8,1009,294,The inspiring true story of someone who made a difference in the world.,978-0-9690466-1-5,2021,2,,
book_0043,The Lightning Thief 3,John Green,Poetry,6,8,907,396,An engaging story for middle grade readers.,978-1-67377-935-6,2019,3,,
