checkout_id,student_id,book_id,checkout_date,return_date,school
1,student_0096,book_0120,2025-10-31,2025-11-19,Riverside Middle School
2,student_0171,book_0258,2025-11-14,2025-11-25,Riverside Middle School
3,student_0079,book_0490,2025-06-24,2025-07-13,Pine Valley School
4,student_0128,book_0391,2025-11-05,2025-11-23,Brookfield Middle
5,student_0058,book_0053,2025-10-31,2025-11-09,Oak Grove Academy
6,student_0062,book_0097,2026-01-27,2026-02-12,Riverside Middle School
7,student_0200,book_0239,2025-05-16,2025-05-25,Brookfield Middle
8,student_0106,book_0070,2025-07-17,2025-07-28,Riverside Middle School
9,student_0140,book_0372,2025-12-01,2025-12-21,Riverside Middle School
10,student_0030,book_0377,2025-12-26,2026-01-07,Pine Valley School
11,student_0040,book_0173,2025-05-05,2025-05-26,Pine Valley School
12,student_0141,book_0358,2026-01-29,2026-02-17,Sunset Ridge Middle
13,student_0037,book_0152,2025-10-11,2025-10-19,Pine Valley School
14,student_0166,book_0480,2025-04-05,2025-04-18,Oak Grove Academy
15,student_0096,book_0036,2026-02-23,2026-03-16,Riverside Middle School
16,student_0036,book_0144,2025-08-19,2025-09-01,Riverside Middle School
17,student_0180,book_0389,2025-06-30,2025-07-15,Brookfield Middle
18,student_0058,book_0356,2025-11-24,2025-12-12,Oak Grove Academy
19,student_0080,book_0265,2026-01-17,2026-02-05,Riverside Middle School
20,student_0024,book_0173,2025-06-11,2025-06-21,Sunset Ridge Middle
21,student_0066,book_0286,2025-07-06,2025-07-26,Sunset Ridge Middle
22,student_0031,book_0156,2025-10-14,2025-10-25,Pine Valley School
23,student_0136,book_0434,2026-01-10,2026-01-24,Brookfield Middle
24,student_0067,book_0119,2025-04-23,2025-05-13,Riverside Middle School
25,student_0198,book_0083,2025-09-03,2025-09-23,Pine Valley School
26,student_0092,book_0408,2026-01-26,2026-02-06,Oak Grove Academy
27,student_0169,book_0256,2025-12-10,2025-12-25,Sunset Ridge Middle
28,student_0097,book_0195,2025-11-25,2025-12-05,Pine Valley School
29,student_0055,book_0273,2025-04-15,2025-05-04,Pine Valley School
30,student_0119,book_0189,2025-04-03,2025-04-12,Brookfield Middle
31,student_0174,book_0446,2025-08-14,2025-08-25,Riverside Middle School
32,student_0170,book_0243,2026-02-23,2026-03-15,Riverside Middle School
33,student_0111,book_0093,2026-02-21,2026-03-07,Oak Grove Academy
34,student_0039,book_0233,2025-06-04,2025-06-21,Oak Grove Academy
35,student_0029,book_0020,2026-03-08,2026-03-29,Pine Valley School
36,student_0021,book_0222,2025-08-27,2025-09-09,Riverside Middle School
37,student_0144,book_0331,2025-07-02,2025-07-16,Oak Grove Academy
38,student_0169,book_0468,2026-03-20,2026-04-06,Sunset Ridge Middle
39,student_0017,book_0325,2025-08-05,2025-08-12,Oak Grove Academy
40,student_0084,book_0339,2025-06-02,2025-06-21,Pine Valley School
41,student_0063,book_0144,2025-08-21,2025-09-04,Pine Valley School
42,student_0055,book_0389,2025-05-06,2025-05-22,Pine Valley School
43,student_0196,book_0077,2025-10-04,2025-10-20,Riverside Middle School
44,student_0146,book_0161,2025-12-04,2025-12-20,Brookfield Middle
45,student_0002,book_0077,2025-11-11,2025-12-01,Oak Grove Academy
46,student_0194,book_0446,2025-08-12,2025-08-29,Sunset Ridge Middle
47,student_0067,book_0438,2026-03-19,2026-04-02,Riverside Middle School
48,student_0121,book_0429,2026-03-23,2026-04-12,Sunset Ridge Middle
49,student_0183,book_0067,2025-06-02,2025-06-14,Riverside Middle School
50,student_0080,book_0452,2025-12-20,2026-01-07,Riverside Middle School
51,student_0035,book_0236,2026-01-21,2026-01-28,Oak Grove Academy
52,student_0193,book_0008,2025-08-12,2025-08-21,Brookfield Middle
53,student_0076,book_0442,2026-01-24,2026-01-31,Oak Grove Academy
54,student_0063,book_0256,2025-06-15,2025-06-27,Pine Valley School
55,student_0081,book_0069,2025-11-24,2025-12-15,Pine Valley School
56,student_0108,book_0285,2026-03-22,2026-03-31,Brookfield Middle
57,student_0037,book_0260,2025-10-01,2025-10-10,Pine Valley School
58,student_0175,book_0123,2025-04-29,2025-05-10,Riverside Middle School
59,student_0023,book_0327,2025-10-03,2025-10-16,Oak Grove Academy
60,student_0079,book_0217,2026-02-21,2026-03-14,Pine Valley School
61,student_0042,book_0324,2025-10-01,2025-10-08,Sunset Ridge Middle
